no,location,H_m,beta_deg,gamma_kN_m3,c_kPa,phi_deg,r_u,stability,status_binary,reporter
1,Congress street open cut slope Chicago USA,8.23,35,18.68,26.34,15,0,Failure,0,Sah1994
2,Brightlingsea slide UK,3.66,30,16.5,11.49,0,0,Failure,0,Sah1994
3,Unknown,30.5,20,18.84,14.36,25,0,Stable,1,Sah1994
4,Unknown,30.5,20,18.84,57.46,20,0,Stable,1,Sah1994
5,Case1 open pit iron ore mine India,100,35,28.44,29.42,35,0,Stable,1,Sah1994
6,Case2 open pit iron ore mine India,100,35,28.44,39.23,38,0,Stable,1,Sah1994
7,Open pit chromite mine Orissa India,40,30,20.6,16.28,26.5,0,Failure,0,Sah1994
8,Sarukuygi landslide Japan,50,20,14.8,0,17,0,Failure,0,Sah1994
9,Case1 open pit iron ore mine Goa India,88,30,14,11.97,26,0,Failure,0,Sah1994
10,Mercoirol open pit coal mine France,120,53,25,120,45,0,Stable,1,Sah1994
11,Marquesade open pit iron ore mine Spain,200,50,26,150.05,45,0,Stable,1,Sah1994
14,Case1 Highvale coal mine Alberta Canada,10,30,22.4,10,35,0,Stable,1,Sah1994
15,Case2 Highvale coal mine Alberta Canada,20,30,21.1,10,30.34,0,Stable,1,Sah1994
16,Case1 open pit coal mine Newcastle coalfield Australia,50,45,22,20,36,0,Failure,0,Sah1994
23,Case1 Wyoming USA,115,40,16,70,20,0,Failure,0,Sah1994
24,Seven Sisters Landslide UK,10.67,22,20.41,24.9,13,0.35,Stable,1,Sah1994
25,Case1 The Northolt slide UK,12.19,22,19.63,11.97,20,0.405,Failure,0,Sah1994
26,Selset Landslide Yorkshire UK,12.8,28,21.82,8.62,32,0.49,Failure,0,Sah1994
27,Saskatchewan dam Canada,45.72,16,20.41,33.52,11,0.2,Failure,0,Sah1994
28,Case2 The Northolt slide UK,10.67,25,18.84,15.32,30,0.38,Stable,1,Sah1994
31,River bank side Alberta Canada,21,35,19.06,11.71,28,0.11,Failure,0,Sah1994
32,Unknown,30.5,20,18.84,14.36,25,0.45,Failure,0,Sah1994
33,Unknown,76.81,31,21.51,6.94,30,0.38,Failure,0,Sah1994
34,Case2 open pit iron ore mine Goa India,88,30,14,11.97,26,0.45,Failure,0,Sah1994
35,Athens slope Greece,20,45,18,24,30.15,0.12,Failure,0,Sah1994
37,Case1 open pit coal mine Alberta Canada,15,45,22.4,100,45,0.25,Stable,1,Sah1994
38,Case2 open pit coal mine Alberta Canada,10,45,22.4,10,35,0.4,Failure,0,Sah1994
39,Case3 open pit coal mine Newcastle coalfield Australia,50,45,20,20,36,0.25,Failure,0,Sah1994
40,Case4 open pit coal mine Newcastle coalfield Australia,50,45,20,20,36,0.5,Failure,0,Sah1994
46,Case4 Harbour slope Newcastle Australia,8,20,18,5,30,0.3,Stable,1,Sah1994
47,Unknown,50,45,20,20,36,0.25,Failure,0,FengHudson2004
48,Unknown,292,47.1,27,40,35,0,Failure,0,FengHudson2004
49,Unknown,284,50,25,46,35,0,Stable,1,FengHudson2004
50,Unknown,366,46,31.3,68,37,0,Failure,0,FengHudson2004
51,Unknown,299,44.5,25,46,36,0,Stable,1,FengHudson2004
52,Unknown,480,40,27.3,10,39,0,Stable,1,FengHudson2004
53,Unknown,393,46,25,46,35,0,Stable,1,FengHudson2004
54,Unknown,330,49,25,48,40,0,Stable,1,FengHudson2004
55,Unknown,305,47,31.3,68.6,37,0,Failure,0,FengHudson2004
56,Unknown,299,45.5,25,55,36,0,Stable,1,FengHudson2004
57,Unknown,213,47,31.3,68,37,0,Failure,0,FengHudson2004
58,Three Gorges hydropower project China,73,45,26.49,150,33,0.15,Stable,1,XuShao1998
59,Three Gorges hydropower project China,130,50,26.7,150,33,0.25,Stable,1,XuShao1998
60,Three Gorges hydropower project China,120,52,26.89,150,33,0.25,Stable,1,XuShao1998
61,Three Gorges hydropower project China,80,45.3,26.57,300,38.7,0.15,Failure,0,XuShao1998
62,Three Gorges hydropower project China,155,54,26.78,300,38.7,0.25,Failure,0,XuShao1998
63,Three Gorges hydropower project China,138,58,26.81,200,35,0.25,Stable,1,XuShao1998
64,Three Gorges hydropower project China,92.2,40,26.43,50,26.6,0.15,Stable,1,XuShao1998
65,Three Gorges hydropower project China,170,50,26.69,50,26.6,0.25,Stable,1,XuShao1998
66,Three Gorges hydropower project China,108,59,26.81,60,28.8,0.25,Stable,1,XuShao1998
67,Dingjiahe phosphorus mine China,236,41,27.8,27.8,27,0.1,Stable,1,Li2006
68,Guilin-Liuzhou highway China,100,25.6,27.1,22,18.6,0.19,Failure,0,He2004
76,Yuecheng reservoir China,39,19.29,18.8,9.8,21,0.25,Failure,0,Chen2009Xiao2011
78,Gushan reservoir China,38,17.07,17.2,10,24.25,0.4,Stable,1,Chen2009Xiao2011
79,Laobu reservoir China,54,21.04,19,11.9,20.4,0.75,Stable,1,Chen2009Xiao2011
80,Wenyuhe reservoir China,53,15.52,18,5,26.5,0.4,Failure,0,Chen2009Xiao2011
81,Wenyuhe reservoir China,53,15.52,18,5,22,0.4,Failure,0,Chen2009Xiao2011
82,Hongwuyi reservoir China,51,18.43,17.4,20,24,0.4,Failure,0,Chen2009Xiao2011
83,Hongwuyi reservoir China,51,18.43,17.8,21.2,13.92,0.4,Stable,1,Chen2009Xiao2011
84,Lingli reservoir China,40,21.8,18.8,8,26,0.4,Failure,0,Chen2009Xiao2011
85,Lingli reservoir China,40,21.8,18.8,8,26,0.4,Failure,0,Chen2009Xiao2011
86,Lingli reservoir China,40,21.8,18,21,21.33,0.4,Failure,0,Chen2009Xiao2011
87,Zhejiang sea wall China,9,21.8,17.6,10,16,0.4,Stable,1,Chen2009Xiao2011
88,Zhejiang sea wall China,9,21.8,17.6,10,8,0.4,Stable,1,Chen2009Xiao2011
89,Hunan anxiang reservoir China,15,45,17.4,14.95,21.2,0.4,Failure,0,Chen2009Xiao2011
90,Qing River area landslide China,400,18,22,29,15,0,Failure,0,Wang2005
91,Qing River area landslide China,380,23,23,24,19.8,0,Failure,0,Wang2005
92,Qing River area landslide China,196,30,22,40,30,0,Stable,1,Wang2005
93,Qing River area landslide China,210,24,22.54,29.4,20,0,Stable,1,Wang2005
94,Qing River area landslide China,257,30,22,21,23,0,Failure,0,Wang2005
95,Qing River area landslide China,190,26,23.5,10,27,0,Failure,0,Wang2005
