row_id,source_paper,case_class,location,valley_region,slope_angle_af_deg,failure_plane_dip_ap_deg,upper_slope_angle_as_deg,h_m,unit_weight_gamma_kNm3,friction_angle_phi_deg,cohesion_C_kPa,seismic_kh,loading_condition,saturation,water_fraction_or_pct,FoS,fos_method,cohesion_source,stability_class
1,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,50,42,10,150,26.98,40.0,156.96,0.0,static,dry,0.0,1.37,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,stable
2,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,50,42,10,150,26.98,40.0,156.96,0.0,static,moderate,0.5,0.83,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
3,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,50,42,10,150,26.98,40.0,156.96,0.15,dynamic,dry,0.0,1.07,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,stable
4,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,50,42,10,150,26.98,40.0,156.96,0.15,dynamic,moderate,0.5,0.62,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
5,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,52,42,13,68,26.68,30.0,156.96,0.0,static,dry,0.0,1.35,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,stable
6,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,52,42,13,68,26.68,30.0,156.96,0.0,static,moderate,0.5,0.95,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,critical
7,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,52,42,13,68,26.68,30.0,156.96,0.0,static,full,0.75,0.46,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
8,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,52,42,13,68,26.68,30.0,156.96,0.15,dynamic,dry,0.0,1.08,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,stable
9,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,52,42,13,68,26.68,30.0,156.96,0.15,dynamic,moderate,0.5,0.75,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
10,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,52,42,13,68,26.68,30.0,156.96,0.15,dynamic,full,0.75,0.35,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
