slope_angle_deg,bedding_dip_deg,joint_spacing_m,slope_height_m,joint_friction_deg,unit_weight_kNm3,water_ratio,FoS,data_origin,usable_for_training
75.9,73.18,4.128,49.87,34.9,23.02,0.433,0.704,synthetic_gb_solver,pretrain_only
68.35,73.95,4.787,21.93,37.51,25.93,0.258,2.161,synthetic_gb_solver,pretrain_only
51.26,72.7,9.982,27.25,29.84,24.54,0.033,1.841,synthetic_gb_solver,pretrain_only
57.47,72.93,4.49,20.97,23.36,27.0,0.212,0.776,synthetic_gb_solver,pretrain_only
63.45,59.54,9.576,20.45,26.41,26.34,0.53,0.697,synthetic_gb_solver,pretrain_only
60.16,63.44,10.322,33.59,27.09,24.15,0.113,0.775,synthetic_gb_solver,pretrain_only
52.0,72.01,11.195,20.77,32.09,25.51,0.245,1.895,synthetic_gb_solver,pretrain_only
79.84,58.68,4.804,20.54,41.93,26.4,0.066,0.931,synthetic_gb_solver,pretrain_only
70.07,60.81,4.122,23.96,28.41,23.18,0.321,0.56,synthetic_gb_solver,pretrain_only
60.09,63.9,8.031,45.54,23.63,24.05,0.053,0.516,synthetic_gb_solver,pretrain_only
65.27,72.2,11.686,55.5,39.04,25.89,0.273,0.987,synthetic_gb_solver,pretrain_only
58.72,69.22,5.591,16.84,36.07,25.32,0.676,1.143,synthetic_gb_solver,pretrain_only
56.37,66.17,3.213,10.59,30.33,25.48,0.524,0.893,synthetic_gb_solver,pretrain_only
54.9,71.35,8.323,51.09,24.19,25.57,0.106,0.581,synthetic_gb_solver,pretrain_only
68.25,73.18,5.785,23.19,28.56,26.96,0.619,0.674,synthetic_gb_solver,pretrain_only
79.01,56.35,7.506,21.79,28.52,26.45,0.646,0.564,synthetic_gb_solver,pretrain_only
58.45,69.54,6.759,18.88,31.87,25.04,0.419,1.543,synthetic_gb_solver,pretrain_only
56.86,63.85,8.686,31.86,27.57,26.46,0.265,0.771,synthetic_gb_solver,pretrain_only
79.15,68.54,9.776,51.34,36.57,25.89,0.643,0.774,synthetic_gb_solver,pretrain_only
65.44,63.73,8.434,28.0,37.43,25.37,0.666,0.912,synthetic_gb_solver,pretrain_only
68.42,63.32,10.281,29.8,32.53,24.68,0.696,0.716,synthetic_gb_solver,pretrain_only
66.93,74.19,9.796,53.46,39.72,26.66,0.228,0.971,synthetic_gb_solver,pretrain_only
62.15,64.79,11.333,44.92,23.97,26.51,0.018,0.582,synthetic_gb_solver,pretrain_only
71.22,62.38,6.193,26.57,32.38,24.19,0.318,0.681,synthetic_gb_solver,pretrain_only
62.0,69.73,1.575,8.14,30.67,24.93,0.527,0.659,synthetic_gb_solver,pretrain_only
64.53,66.32,1.381,9.04,38.07,23.81,0.543,0.814,synthetic_gb_solver,pretrain_only
78.2,71.06,1.349,8.39,27.2,25.0,0.379,0.564,synthetic_gb_solver,pretrain_only
