case_id,dip_j1,dipdir_j1,dip_j2,dipdir_j2,dip_slope,dipdir_slope,dip_upper,dipdir_upper,height_m,gamma_kN_m3,c1_kPa,phi1_deg,c2_kPa,phi2_deg,w_pct,water_condition,u_kPa,psi_i_deg,alpha_i_deg,delta_alpha_deg,wedge_volume_m3,weight_kN,area_j1_m2,area_j2_m2,N1_kN,N2_kN,driving_kN,resisting_kN,failure_mode,FoS,data_origin,usable_for_training,solver_verified_against,fos_band
WS0002,74.5,282.87,40.69,11.09,68.81,332.63,12.58,330.65,34.36,22.4,29.81,38.49,27.84,34.04,0.0,dry,0.0,39.987,0.079,27.452,7632.15,170963.58,645.95,1157.95,16441.11,126248.87,109864.63,149851.97,joints12,1.364,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.2-1.5
WS0003,51.03,154.86,58.3,267.32,53.98,215.57,1.11,206.18,28.43,23.657,20.29,30.85,26.19,29.02,12.58,wet,35.071,37.993,205.982,9.587,1511.57,35759.61,321.8,330.08,9700.62,5644.98,22012.61,24099.7,joints12,1.0948,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.0-1.2
WS0004,56.67,242.97,62.99,5.83,51.75,327.92,8.4,319.13,18.34,26.845,21.42,36.79,13.32,34.59,5.51,wet,9.919,38.824,300.914,27.011,157.07,4216.62,71.37,105.1,2003.49,1322.71,2643.52,5339.18,joints12,2.0197,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,>2.0
WS0005,64.55,35.53,74.1,143.59,66.13,103.0,2.94,95.89,12.25,24.699,22.63,36.21,41.85,27.15,5.36,wet,6.443,56.567,79.208,23.797,13.16,325.09,14.91,19.88,63.32,0.0,271.69,383.66,joint1,1.4121,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.2-1.5
WS0006,54.0,97.84,35.62,161.72,71.9,154.52,8.8,156.03,10.96,24.405,9.1,32.7,45.39,35.42,38.36,wet,41.245,35.827,156.652,2.131,2615.06,63821.28,114.98,1071.31,0.0,4199.66,37363.59,51612.09,joint2,1.3813,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.2-1.5
WS0007,44.26,317.45,55.65,38.05,73.31,345.72,16.09,352.7,32.08,26.289,14.44,34.13,41.08,35.69,0.0,dry,0.0,41.416,344.753,0.968,12736.67,334838.0,1595.41,903.14,189964.13,94752.97,221502.64,256949.32,joints12,1.16,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.0-1.2
WS0008,55.1,289.98,71.57,341.62,62.19,291.96,16.32,280.8,33.42,25.703,41.73,25.96,45.61,29.54,1.71,wet,5.596,54.913,279.753,12.206,6187.83,159048.19,4041.17,134.62,67388.68,0.0,130843.21,201428.88,joint1,1.5395,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.5-2.0
WS0009,63.57,107.87,44.59,177.58,52.37,143.54,17.93,131.74,24.49,25.704,49.41,31.98,19.44,36.5,0.0,dry,0.0,44.38,169.041,25.504,170.55,4384.0,92.92,117.64,389.09,2906.92,3066.23,9272.18,joints12,3.024,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,>2.0
WS0010,57.47,327.31,66.45,65.27,67.77,34.16,15.5,31.26,31.9,24.319,14.36,25.04,39.95,31.53,2.32,wet,7.265,50.366,7.632,26.53,1340.38,32597.29,243.94,384.96,14559.84,8478.15,25104.3,30885.13,joints12,1.2303,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.2-1.5
WS0011,64.51,175.7,63.82,310.0,57.89,221.53,11.89,223.62,29.38,25.794,18.02,28.0,28.99,35.09,25.42,wet,73.261,38.738,243.921,22.396,1323.08,34127.96,397.61,289.16,0.0,4914.02,22046.07,11836.22,joint2,0.5369,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,<0.8
